Item name,unit,Protein,Fat,fibre,carbohydrate,Calories,energy_kj,Calcium,Iron,Betacarotene,caroten_total,Thiamine,Riboflavin,Niacin,Ascorbic Acid,ext_source,pu_cal,pu_prot,pu_fat
Paddy (Local variety),Kilograms,78.1,5.5,37.4,771.60004,3513.423,14710,81.1,7.2000003,0,469,1.7,0.59999996,25.1,0,0,3460,75,5
Paddy (HYV),Kilograms,78.1,5.5,37.4,771.60004,3513.423,14710,81.1,7.2000003,0,469,1.7,0.59999996,25.1,0,0,3460,75,5
Rice (local variety),Kilograms,60,0,0,771.60004,3513.423,3400,81.1,28.8,0,469,0,0.59999996,32,0,0,3460,75,5
Rice (HYV variety),Kilograms,78.1,5.5,37.4,771.60004,3513.423,14710,81.1,7.2000003,0,469,1.7,0.59999996,25.1,0,0,3460,75,5
Wheat (Local variety),Kilograms,105.8,15,112.95,644.44995,3208.8945,13435,351.5,40.35,28.5,2840,4.3999996,1.5,25.25,0,0,3410,121,17
Wheat (HYV),Kilograms,105.8,15,112.95,644.44995,3208.8945,13435,351.5,40.35,28.5,2840,4.3999996,1.5,25.25,0,0,3410,121,17
Jowar/Sorghum (Local variety),Kilograms,99.700005,17.3,102.200005,676.8,3339.0654,13980,276,39.5,82.9,2120,3.5,1.4,21,0,0,3490,104,19
Jowar/Sorghum (HYV),Kilograms,99.700005,17.3,102.200005,676.8,3339.0654,13980,276,39.5,82.9,2120,3.5,1.4,21,0,0,3490,104,19
Bajra/Pearl millet (Local variety),Kilograms,102.7,51.399998,70.7,580.26666,2987.166,12506.667,258.93332,60.766663,267.26666,2440.6333,2.3666666,1.9,8.133333,0,0,3032,97,42
Bajra/Pearl millet (HYV),Kilograms,102.7,51.399998,70.7,580.26666,2987.166,12506.667,258.93332,60.766663,267.26666,2440.6333,2.3666666,1.9,8.133333,0,0,3032,97,42
Maize (Local variety),Kilograms,88,37.7,122.399994,647.69995,3339.0654,13980,89.1,24.9,1860,8930,3.3000002,0.90000004,26.900002,0,0,3420,111,36
Maize (HYV),Kilograms,88,37.7,122.399994,647.69995,3339.0654,13980,89.1,24.9,1860,8930,3.3000002,0.90000004,26.900002,0,0,3420,111,36
Other minor millets,Kilograms,101.3,38.9,77.2,655.5,3460.877,14490,160.59999,12.6,19.1,1200,2.6,0.5,12.9,0,0,2615,97,34
Ragi/Finger millet,Kilograms,71.6,19.199999,111.8,668.2,3205.312,13420,3640,46.199997,15.299999,1540,3.7,1.7,13.400001,0,0,3280,73,13
Other cereals,Kilograms,90.54063,20.321875,82.95937,637.95,3135.3237,13126.973,443.1344,30.84375,222.45483,2294.478,2.7,1.015625,18.390625,15.525,0,2615,97,34
Redgram (Tur)/Pigeonpea,Kilograms,187.70001,51.100002,252.2,395.6,2868.539,12010,1500,67.8,1720,9990,3.7,2.3999999,21,0,0,3720,208,56
Blackgram (Urad),Kilograms,187.70001,51.100002,252.2,395.6,2868.539,12010,1500,67.8,1720,9990,3.7,2.3999999,21,0,0,3720,208,56
Bengalgram (Chenna)/Chickpea,Kilograms,187.70001,51.100002,252.2,395.6,2868.539,12010,1500,67.8,1720,9990,3.7,2.3999999,21,0,0,3720,208,56
Redgram dhal,Kilograms,187.70001,51.100002,252.2,395.6,2868.539,12010,1500,67.8,1720,9990,3.7,2.3999999,21,0,0,3720,208,56
Blackgram dhal,Kilograms,187.70001,51.100002,252.2,395.6,2868.539,12010,1500,67.8,1720,9990,3.7,2.3999999,21,0,0,3720,208,56
Bengalgram dhal,Kilograms,187.70001,51.100002,252.2,395.6,2868.539,12010,1500,67.8,1720,9990,3.7,2.3999999,21,0,0,3720,208,56
Greengram (Mung),Kilograms,238.79999,13.5,93.7,525.9,3255.4697,13630,431.30002,39.3,1220,6190,3.5,1.1999999,18.4,0,0,3480,245,12
Greengram dhal,Kilograms,238.79999,13.5,93.7,525.9,3255.4697,13630,431.30002,39.3,1220,6190,3.5,1.1999999,18.4,0,0,3480,245,12
Cowpea,Kilograms,204.3,18.9,170.1,489.3,3030.9543,12690,751.1,50.9,657.1,9330,5.6,1.5999999,26.900002,0,0,3150,197,11
Soybean,Kilograms,197.5,17.6,151.2,520.9,3083.5007,12910,1540,79,35.7,6220,4.5,0.90000004,18.7,0,0,3400,220,12
Other pulses,Kilograms,197.5,17.6,151.2,520.9,3083.5007,12910,1540,79,35.7,6220,4.5,0.90000004,18.7,0,0,3400,220,12
Other dhal,Kilograms,197.5,17.6,151.2,520.9,3083.5007,12910,1540,79,35.7,6220,4.5,0.90000004,18.7,0,0,3400,220,12
Milk,Kilograms,32.6,44.8,0,49.4,728.48,3050,1210,1.5999999,136.7,2000,0.29999998,1.1,0.79999995,20.1,0,1000,40,70
"Other milk products like curd, etc.",Kilograms,31,40,0,30,600,2512.0798,1490,2,0,0,0.5,1.5999999,1,10,0,600,31,40
